0,-6.02E-05
0.49505,7.30E-04
0.990099,7.94E-04
1.485149,8.01E-04
1.980198,8.04E-04
2.475248,8.04E-04
2.970297,8.28E-04
3.465347,8.09E-04
3.960396,8.07E-04
4.455446,8.29E-04
4.950495,8.28E-04
5.445545,8.39E-04
5.940594,8.41E-04
6.435644,8.89E-04
6.930693,8.78E-04
7.425743,8.94E-04
7.920792,9.04E-04
8.415842,9.24E-04
8.910891,9.58E-04
9.405941,9.80E-04
9.90099,1.01E-03
10.39604,1.09E-03
10.891089,1.15E-03
11.386139,1.23E-03
11.881188,1.32E-03
12.376238,1.40E-03
12.871287,1.49E-03
13.366337,1.58E-03
13.861386,1.68E-03
14.356436,1.79E-03
14.851485,1.88E-03
15.346535,1.97E-03
15.841584,2.09E-03
16.336634,2.20E-03
16.831683,2.34E-03
17.326733,2.46E-03
17.821782,2.57E-03
18.316832,2.73E-03
18.811881,2.87E-03
19.306931,3.01E-03
19.80198,3.19E-03
20.29703,3.30E-03
20.792079,3.50E-03
21.287129,3.70E-03
21.782178,3.90E-03
22.277228,4.11E-03
22.772277,4.34E-03
23.267327,4.57E-03
23.762376,4.83E-03
24.257426,5.10E-03
24.752475,5.39E-03
25.247525,5.69E-03
25.742574,6.02E-03
26.237624,6.35E-03
26.732673,6.71E-03
27.227723,7.10E-03
27.722772,7.47E-03
28.217822,7.86E-03
28.712871,8.30E-03
29.207921,8.75E-03
29.70297,9.19E-03
30.19802,9.68E-03
30.693069,1.02E-02
31.188119,1.07E-02
31.683168,1.13E-02
32.178218,1.19E-02
32.673267,1.25E-02
33.168317,1.31E-02
33.663366,1.38E-02
34.158416,1.44E-02
34.653465,1.51E-02
35.148515,1.59E-02
35.643564,1.66E-02
36.138614,1.74E-02
36.633663,1.82E-02
37.128713,1.90E-02
37.623762,1.99E-02
38.118812,2.08E-02
38.613861,2.17E-02
39.108911,2.27E-02
39.60396,2.37E-02
40.09901,2.47E-02
40.594059,2.58E-02
41.089109,2.69E-02
41.584158,2.80E-02
42.079208,2.92E-02
42.574257,3.04E-02
43.069307,3.17E-02
43.564356,3.29E-02
44.059406,3.43E-02
44.554455,3.56E-02
45.049505,3.70E-02
45.544554,3.84E-02
46.039604,3.99E-02
46.534653,4.14E-02
47.029703,4.29E-02
47.524752,4.45E-02
48.019802,4.61E-02
48.514851,4.78E-02
49.009901,4.95E-02
49.50495,5.12E-02
50,5.29E-02
