VGS,VDS,ID
0.0000000000E+00,0.0000000000E+00,7.3000000000E-04
0.0000000000E+00,4.9504900000E-01,7.9400000000E-04
0.0000000000E+00,9.9009900000E-01,8.0100000000E-04
0.0000000000E+00,1.4851480000E+00,8.0400000000E-04
0.0000000000E+00,1.9801980000E+00,8.0400000000E-04
0.0000000000E+00,2.4752470000E+00,8.2800000000E-04
0.0000000000E+00,2.9702970000E+00,8.0900000000E-04
0.0000000000E+00,3.4653460000E+00,8.0700000000E-04
0.0000000000E+00,3.9603960000E+00,8.2900000000E-04
0.0000000000E+00,4.4554450000E+00,8.2800000000E-04
0.0000000000E+00,4.9504950000E+00,8.3900000000E-04
0.0000000000E+00,5.4455440000E+00,8.4100000000E-04
0.0000000000E+00,5.9405940000E+00,8.8900000000E-04
0.0000000000E+00,6.4356430000E+00,8.7800000000E-04
0.0000000000E+00,6.9306930000E+00,8.9400000000E-04
0.0000000000E+00,7.4257420000E+00,9.0400000000E-04
0.0000000000E+00,7.9207920000E+00,9.2400000000E-04
0.0000000000E+00,8.4158410000E+00,9.5800000000E-04
0.0000000000E+00,8.9108910000E+00,9.8000000000E-04
0.0000000000E+00,9.4059400000E+00,1.0100000000E-03
0.0000000000E+00,9.9009900000E+00,1.0900000000E-03
0.0000000000E+00,1.0396039000E+01,1.1500000000E-03
0.0000000000E+00,1.0891089000E+01,1.2300000000E-03
0.0000000000E+00,1.1386138000E+01,1.3200000000E-03
0.0000000000E+00,1.1881188000E+01,1.4000000000E-03
0.0000000000E+00,1.2376237000E+01,1.4900000000E-03
0.0000000000E+00,1.2871287000E+01,1.5800000000E-03
0.0000000000E+00,1.3366336000E+01,1.6800000000E-03
0.0000000000E+00,1.3861386000E+01,1.7900000000E-03
0.0000000000E+00,1.4356435000E+01,1.8800000000E-03
0.0000000000E+00,1.4851485000E+01,1.9700000000E-03
0.0000000000E+00,1.5346534000E+01,2.0900000000E-03
0.0000000000E+00,1.5841584000E+01,2.2000000000E-03
0.0000000000E+00,1.6336633000E+01,2.3400000000E-03
0.0000000000E+00,1.6831683000E+01,2.4600000000E-03
0.0000000000E+00,1.7326732000E+01,2.5700000000E-03
0.0000000000E+00,1.7821782000E+01,2.7300000000E-03
0.0000000000E+00,1.8316831000E+01,2.8700000000E-03
0.0000000000E+00,1.8811881000E+01,3.0100000000E-03
0.0000000000E+00,1.9306930000E+01,3.1900000000E-03
0.0000000000E+00,1.9801980000E+01,3.3000000000E-03
0.0000000000E+00,2.0297029000E+01,3.5000000000E-03
0.0000000000E+00,2.0792079000E+01,3.7000000000E-03
0.0000000000E+00,2.1287128000E+01,3.9000000000E-03
0.0000000000E+00,2.1782178000E+01,4.1100000000E-03
0.0000000000E+00,2.2277227000E+01,4.3400000000E-03
0.0000000000E+00,2.2772277000E+01,4.5700000000E-03
0.0000000000E+00,2.3267326000E+01,4.8300000000E-03
0.0000000000E+00,2.3762376000E+01,5.1000000000E-03
0.0000000000E+00,2.4257425000E+01,5.3900000000E-03
0.0000000000E+00,2.4752475000E+01,5.6900000000E-03
0.0000000000E+00,2.5247524000E+01,6.0200000000E-03
0.0000000000E+00,2.5742574000E+01,6.3500000000E-03
0.0000000000E+00,2.6237623000E+01,6.7100000000E-03
0.0000000000E+00,2.6732673000E+01,7.1000000000E-03
0.0000000000E+00,2.7227722000E+01,7.4700000000E-03
0.0000000000E+00,2.7722772000E+01,7.8600000000E-03
0.0000000000E+00,2.8217821000E+01,8.3000000000E-03
0.0000000000E+00,2.8712871000E+01,8.7500000000E-03
0.0000000000E+00,2.9207920000E+01,9.1900000000E-03
0.0000000000E+00,2.9702970000E+01,9.6800000000E-03
0.0000000000E+00,3.0198019000E+01,1.0200000000E-02
0.0000000000E+00,3.0693069000E+01,1.0700000000E-02
0.0000000000E+00,3.1188118000E+01,1.1300000000E-02
0.0000000000E+00,3.1683168000E+01,1.1900000000E-02
0.0000000000E+00,3.2178217000E+01,1.2500000000E-02
0.0000000000E+00,3.2673267000E+01,1.3100000000E-02
0.0000000000E+00,3.3168316000E+01,1.3800000000E-02
0.0000000000E+00,3.3663366000E+01,1.4400000000E-02
0.0000000000E+00,3.4158415000E+01,1.5100000000E-02
0.0000000000E+00,3.4653465000E+01,1.5900000000E-02
0.0000000000E+00,3.5148514000E+01,1.6600000000E-02
0.0000000000E+00,3.5643564000E+01,1.7400000000E-02
0.0000000000E+00,3.6138613000E+01,1.8200000000E-02
0.0000000000E+00,3.6633663000E+01,1.9000000000E-02
0.0000000000E+00,3.7128712000E+01,1.9900000000E-02
0.0000000000E+00,3.7623762000E+01,2.0800000000E-02
0.0000000000E+00,3.8118811000E+01,2.1700000000E-02
0.0000000000E+00,3.8613861000E+01,2.2700000000E-02
0.0000000000E+00,3.9108910000E+01,2.3700000000E-02
0.0000000000E+00,3.9603960000E+01,2.4700000000E-02
0.0000000000E+00,4.0099009000E+01,2.5800000000E-02
0.0000000000E+00,4.0594059000E+01,2.6900000000E-02
0.0000000000E+00,4.1089108000E+01,2.8000000000E-02
0.0000000000E+00,4.1584158000E+01,2.9200000000E-02
0.0000000000E+00,4.2079207000E+01,3.0400000000E-02
0.0000000000E+00,4.2574257000E+01,3.1700000000E-02
0.0000000000E+00,4.3069306000E+01,3.2900000000E-02
0.0000000000E+00,4.3564356000E+01,3.4300000000E-02
0.0000000000E+00,4.4059405000E+01,3.5600000000E-02
0.0000000000E+00,4.4554455000E+01,3.7000000000E-02
0.0000000000E+00,4.5049504000E+01,3.8400000000E-02
0.0000000000E+00,4.5544554000E+01,3.9900000000E-02
0.0000000000E+00,4.6039603000E+01,4.1400000000E-02
0.0000000000E+00,4.6534653000E+01,4.2900000000E-02
0.0000000000E+00,4.7029702000E+01,4.4500000000E-02
0.0000000000E+00,4.7524752000E+01,4.6100000000E-02
0.0000000000E+00,4.8019801000E+01,4.7800000000E-02
0.0000000000E+00,4.8514851000E+01,4.9500000000E-02
0.0000000000E+00,4.9009900000E+01,5.1200000000E-02
0.0000000000E+00,4.9504950000E+01,5.2900000000E-02
